id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,timestamp
bitcoin,btc,Bitcoin,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,99470.0,1976470136504,1,1976473221333,76072364311,99869.0,95967.0,2582.57,2.66553,52974755155.0,2.75409,19861900.0,19861931.0,21000000.0,108786.0,-8.56186,2025-01-20T09:11:54.494Z,67.81,146593.59595,2013-07-06T00:00:00.000Z,,2025-05-08T13:40:55.776Z,2025-05-08 13:42:37.780010
ethereum,eth,Ethereum,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,1971.25,238066199675,2,238066199675,59520606762,1971.6,1792.06,142.5,7.79244,17673331471.0,8.01901,120732202.3532106,120732202.3532106,,4878.26,-59.59029,2021-11-10T14:24:19.604Z,0.432979,455185.70908,2015-10-20T00:00:00.000Z,"{'times': 25.535050515372557, 'currency': 'btc', 'percentage': 2553.5050515372554}",2025-05-08T13:40:59.846Z,2025-05-08 13:42:37.780010
tether,usdt,Tether,https://coin-images.coingecko.com/coins/images/325/large/Tether.png?1696501661,1.0,149523497217,3,149523497217,32722639416,1.0,0.99989,0.00022971,0.02297,110075807.0,0.07367,149504280849.8412,149504280849.8412,,1.32,-24.40994,2018-07-24T00:00:00.000Z,0.572521,74.68854,2015-03-02T00:00:00.000Z,,2025-05-08T13:40:54.884Z,2025-05-08 13:42:37.780010
ripple,xrp,XRP,https://coin-images.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1696501442,2.22,129653717325,4,221586232528,4855118199,2.22,2.11,0.086088,4.04133,5032677157.0,4.03838,58503545101.0,99986181777.0,100000000000.0,3.4,-34.79775,2018-01-07T00:00:00.000Z,0.00268621,82390.52458,2014-05-22T00:00:00.000Z,,2025-05-08T13:40:54.427Z,2025-05-08 13:42:37.780010
binancecoin,bnb,BNB,https://coin-images.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970,616.05,89894814193,5,89894814193,955516958,617.09,598.42,10.41,1.71813,1539025842.0,1.74185,145887575.79,145887575.79,200000000.0,788.84,-21.90316,2024-12-04T10:35:25.220Z,0.0398177,1547106.3545,2017-10-19T00:00:00.000Z,,2025-05-08T13:41:00.783Z,2025-05-08 13:42:37.780010
solana,sol,Solana,https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756,155.16,80525998176,6,93144364006,6283123674,155.51,145.24,8.53,5.82012,4465882617.0,5.87152,518897080.5494435,600207878.7893503,,293.31,-47.18314,2025-01-19T11:15:27.957Z,0.500801,30834.06689,2020-05-11T19:35:23.449Z,,2025-05-08T13:40:53.848Z,2025-05-08 13:42:37.780010
usd-coin,usdc,USDC,https://coin-images.coingecko.com/coins/images/6319/large/usdc.png?1696506694,0.999998,60911663811,7,60949760760,7888023384,1.0,0.999894,-2.6468207234287e-05,-0.00265,-109466702.35987091,-0.17939,60911667966.50853,60949764917.43603,,1.17,-14.73253,2019-05-08T00:40:28.300Z,0.877647,13.93388,2023-03-11T08:02:13.981Z,,2025-05-08T13:40:51.552Z,2025-05-08 13:42:37.780010
dogecoin,doge,Dogecoin,https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,0.184443,27546970671,8,27549168288,1306807838,0.184991,0.169684,0.01227523,7.12981,1870521852.0,7.28497,149165616383.7052,149177516383.7052,,0.731578,-74.78626,2021-05-08T05:08:23.458Z,8.69e-05,212155.76153,2015-05-06T00:00:00.000Z,,2025-05-08T13:41:01.318Z,2025-05-08 13:42:37.780010
cardano,ada,Cardano,https://coin-images.coingecko.com/coins/images/975/large/cardano.png?1696502090,0.720545,25996405533,9,32458289236,896878929,0.723156,0.656818,0.04715021,7.00186,1726383662.0,7.11323,36041278715.38476,45000000000.0,45000000000.0,3.09,-76.65829,2021-09-02T06:00:10.474Z,0.01925275,3642.51935,2020-03-13T02:22:55.044Z,,2025-05-08T13:40:54.462Z,2025-05-08 13:42:37.780010
tron,trx,TRON,https://coin-images.coingecko.com/coins/images/1094/large/tron-logo.png?1696502193,0.25035,23764328198,10,23764338191,535041989,0.251434,0.246304,0.00289997,1.17194,300249615.0,1.27961,94915615212.19055,94915655123.84239,,0.431288,-41.95287,2024-12-04T00:10:40.323Z,0.00180434,13774.89456,2017-11-12T00:00:00.000Z,"{'times': 130.76313346349647, 'currency': 'usd', 'percentage': 13076.313346349647}",2025-05-08T13:41:01.655Z,2025-05-08 13:42:37.780010
